log
"[2022-08-15 12:36:27,451 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""23a8ff70-d047-45cf-b924-2813e794a4e0"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 929, ""args"": ""{\""order_id\"":\""GPA.3373-5150-1550-02482\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""gjiclimdhfejfpmejlkcfpgp.AO-J1Owybuug2q-VDRqqFoEaVYQz1kgcvHVRGxB2hokejJfe-AyVusaF5uyAAVONc_lus3-qHLsen4xPzGYLA0dGYuj6ptDkzGoD-F343ibZswz0vh-8gy0\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-15 12:27:30,992 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""77acdead-ec10-4d95-909c-7cc27a18b2cf"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 1007, ""args"": ""{\""order_id\"":\""GPA.3317-2579-6394-96476\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""geblhgmljffllkjakhhgdnfe.AO-J1OxQb9BA3JA15UFx4XGjhdmKCxGv5Z03dAqxkH0X98lAnZrpDuJtJ0NsmHgUKS2L-y9NrrsQrNMD6y_XJGJlkM-rEOmiSReJTr038jt3D8ztvvL4eFU\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-15 12:26:39,623 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""a6857095-25da-454b-96e9-ce3a8b2c222e"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 1144, ""args"": ""{\""order_id\"":\""GPA.3317-2579-6394-96476\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""geblhgmljffllkjakhhgdnfe.AO-J1OxQb9BA3JA15UFx4XGjhdmKCxGv5Z03dAqxkH0X98lAnZrpDuJtJ0NsmHgUKS2L-y9NrrsQrNMD6y_XJGJlkM-rEOmiSReJTr038jt3D8ztvvL4eFU\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-15 12:28:22,313 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""dd308261-db15-4ea4-88fc-2f1ab3745e3c"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 1129, ""args"": ""{\""order_id\"":\""GPA.3317-2579-6394-96476\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""geblhgmljffllkjakhhgdnfe.AO-J1OxQb9BA3JA15UFx4XGjhdmKCxGv5Z03dAqxkH0X98lAnZrpDuJtJ0NsmHgUKS2L-y9NrrsQrNMD6y_XJGJlkM-rEOmiSReJTr038jt3D8ztvvL4eFU\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-15 12:33:16,692 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""6112e0e2-c340-467f-b750-509cb758156c"", ""remote_address"": ""172.31.24.194"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23619, ""time"": 935, ""args"": ""{\""order_id\"":\""GPA.3335-4460-0237-77727\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""bnabnmndfjdkljnbpmoggfbk.AO-J1Ow3qz9xldcGFeg5mMasYXzRMhlVnMHPsFi_u76nbE0Z76zgGyK0rVdxKKDzI4tJ2mHcQRS3eowS0oTrT0hkeXRiDvy-zW5EB4mkfqI4NqNKwE4Fd5U\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-16 04:07:58,878 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""2466d5ba-bd55-4ade-a652-7468f50f7b6a"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23750, ""time"": 1142, ""args"": ""{\""order_id\"":\""GPA.3368-0452-6172-27874\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""ofniaodjmagfgkbpfiaejnnj.AO-J1OzNttHzg2brBSfLl_Zt9IVd5X61AdQbp3re27XpX3SfFHnguITyxGDYcW6PHbtYXh8FAx3XNx0QjL15-fazG2jzoiH3no1GGfTgDriRQCCCCURR5RI\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-16 06:27:46,036 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""4d75f68c-670b-45c7-bd06-4899b938a1bb"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23801, ""time"": 1110, ""args"": ""{\""order_id\"":\""GPA.3396-2901-5315-75723\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""nhjnbfblenejcopgcbkchhin.AO-J1OwAlhDxPKZ-kcMcxTUn1O-5uTDnNorrpVK0KoT6xPfpbH0xqDafrFNCWr7xIOHse_Pst6AzdwVZbLmzgyR1-4iRM--xkQ5MZNkF-J37L1DJn0E2H1o\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-17 04:13:06,117 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""b52441f2-4bda-44c2-9407-b9a909e5cf4a"", ""remote_address"": ""172.31.34.209"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23836, ""time"": 1090, ""args"": ""{\""order_id\"":\""GPA.3397-7342-5312-04301\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""ldblchihkkffhephpbmoigcb.AO-J1OwvtOJFFZI60eRmpyqSeOnh7Z4sL8wUAJ2rBK3Cb5xRfIR470xjmJNS2CHa_1JjUDJPytNv2xr3_3rkOHE6QU5S1wB_7R-IPuPLKO_48vbWmDa9Dlg\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-17 04:13:57,307 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""74ac7d30-cde0-4ae7-956a-8e8260f39d8e"", ""remote_address"": ""172.31.34.209"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 23836, ""time"": 831, ""args"": ""{\""order_id\"":\""GPA.3397-7342-5312-04301\"",\""product_id\"":\""2022031803\"",\""purchase_token\"":\""ldblchihkkffhephpbmoigcb.AO-J1OwvtOJFFZI60eRmpyqSeOnh7Z4sL8wUAJ2rBK3Cb5xRfIR470xjmJNS2CHa_1JjUDJPytNv2xr3_3rkOHE6QU5S1wB_7R-IPuPLKO_48vbWmDa9Dlg\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
"[2022-08-10 05:49:19,510 |     INFO | luffy.middleware.logger_middleware-process_response-57]: ({""request_id"": ""51124078-0761-4164-a66e-ee81aae1d1aa"", ""remote_address"": ""172.31.0.167"", ""path"": ""/payment/google_pay/verify/"", ""method"": ""POST"", ""user_id"": 22722, ""time"": 1384, ""args"": ""{\""order_id\"":\""GPA.3398-9696-7098-40164\"",\""product_id\"":\""2022031801\"",\""purchase_token\"":\""fccdjogdoakpjhjapndmalei.AO-J1OwYTW8A3bPZB2KRrZXwYJgZrk2hhE1mN1pjp8oufcvqi4nXDUG0KwpzsZ1LRJUXDzBKVH91gXhjewvWIu2fkV2AKy5r3Enxm6e_VAKr46iVgkKNKkY\""}"", ""response"": {""code"": 400, ""msg"": ""failed"", ""data"": null}})"
